SNR;RAJ2000;DEJ2000;MajDiam;MinDiam;u_MinDiam;type;l_S(1GHz);S(1GHz);u_S(1GHz);Sp-Index;u_Sp-Index;Names;Simbad;recno
G000.0+00.0;17 45 44;-29 00;  3.5;  2.5; ;S ; ; 100.0;?; 0.80;? ;Sgr A East                ;Simbad;       1
G000.3+00.0;17 46 15;-28 38; 15.0;  8.0; ;S ; ;  22.0; ; 0.60;  ;                          ;Simbad;       2
G000.9+00.1;17 47 21;-28 09;  8.0;     ; ;C ; ;  18.0;?;     ;v ;                          ;Simbad;       3
G001.0-00.1;17 48 30;-28 09;  8.0;     ; ;S ; ;  15.0; ; 0.60;? ;                          ;Simbad;       4
G001.4-00.1;17 49 39;-27 46; 10.0;     ; ;S ; ;   2.0;?;     ;? ;                          ;Simbad;       5
G001.9+00.3;17 48 45;-27 10;  1.5;     ; ;S ; ;   0.6; ; 0.60;  ;                          ;Simbad;       6
G003.1-00.6;17 55 30;-26 35; 52.0; 28.0; ;S ; ;   5.0; ; 0.90;? ;                          ;Simbad;       7
G003.7-00.2;17 55 26;-25 50; 14.0; 11.0; ;S ; ;   2.3; ; 0.65;  ;                          ;Simbad;       8
G003.8+00.3;17 52 55;-25 28; 18.0;     ; ;S?; ;   3.0;?; 0.60;  ;                          ;Simbad;       9
G004.2-03.5;18 08 55;-27 03; 28.0;     ; ;S ; ;   3.2;?; 0.60;? ;                          ;Simbad;      10
G004.5+06.8;17 30 42;-21 29;  3.0;     ; ;S ; ;  19.0; ; 0.64;  ;Kepler, SN1604, 3C358     ;Simbad;      11
G004.8+06.2;17 33 25;-21 34; 18.0;     ; ;S ; ;   3.0; ; 0.60;  ;                          ;Simbad;      12
G005.2-02.6;18 07 30;-25 45; 18.0;     ; ;S ; ;   2.6;?; 0.60;? ;                          ;Simbad;      13
G005.4-01.2;18 02 10;-24 54; 35.0;     ; ;C?; ;  35.0;?; 0.20;? ;Milne 56                  ;Simbad;      14
G005.5+00.3;17 57 04;-24 00; 15.0; 12.0; ;S ; ;   5.5; ; 0.70;  ;                          ;Simbad;      15
G005.9+03.1;17 47 20;-22 16; 20.0;     ; ;S ; ;   3.3;?; 0.40;? ;                          ;Simbad;      16
G006.1+00.5;17 57 29;-23 25; 18.0; 12.0; ;S ; ;   4.5; ; 0.90;  ;                          ;Simbad;      17
G006.1+01.2;17 54 55;-23 05; 30.0; 26.0; ;F ; ;   4.0;?; 0.30;? ;                          ;Simbad;      18
G006.4-00.1;18 00 30;-23 26; 48.0;     ; ;C ; ; 310.0; ;     ;v ;W28                       ;Simbad;      19
G006.4+04.0;17 45 10;-21 22; 31.0;     ; ;S ; ;   1.3;?; 0.40;? ;                          ;Simbad;      20
G006.5-00.4;18 02 11;-23 34; 18.0;     ; ;S ; ;  27.0; ; 0.60;  ;                          ;Simbad;      21
G007.0-00.1;18 01 50;-22 54; 15.0;     ; ;S ; ;   2.5;?; 0.50;? ;                          ;Simbad;      22
G007.2+00.2;18 01 07;-22 38; 12.0;     ; ;S ; ;   2.8; ; 0.60;  ;                          ;Simbad;      23
